type,perimeter,compactness,length,length_g,width,asymmetry_coef
2,16.18,0.8999,6.111,5.992,3.869,4.188
2,17.03,0.8735,6.513,6.185,3.773,1.91
2,15.66,0.8991,5.791,5.661,3.69,5.366
2,15.89,0.9108,5.979,5.962,3.755,2.837
2,15.33,0.8644,5.845,5.795,3.395,4.266
2,14.89,0.8823,5.776,5.847,3.408,4.972
2,14.66,0.899,5.477,5.439,3.465,3.6
2,15.76,0.8785,6.145,5.971,3.574,3.526
3,13.92,0.848,5.472,5.395,2.994,5.304
3,13.94,0.8613,5.541,5.44,3.073,7.035
3,13.95,0.862,5.389,5.307,3.074,5.995
3,13.13,0.8167,5.279,5.275,2.687,6.169
3,13.13,0.8335,5.176,5.132,2.719,2.221
3,13.46,0.8658,5.267,5.002,2.967,4.421
3,13.71,0.8491,5.386,5.316,2.911,3.26
3,12.93,0.8107,5.317,5.194,2.648,5.462
3,13.23,0.8496,5.263,5.307,2.84,5.195
3,13.52,0.8249,5.405,5.27,2.776,6.992
3,13.04,0.8266,5.22,5.001,2.693,3.332
3,13.05,0.8382,5.175,5.263,2.755,4.048
3,13.05,0.8253,5.25,5.219,2.675,5.813
3,12.87,0.8596,5.053,5.003,2.849,3.347
3,13.73,0.8081,5.394,5.22,2.745,4.825
3,13.22,0.8263,5.304,5.31,2.695,5.388
3,13.67,0.8425,5.451,5.491,2.879,3.082
3,13.33,0.8503,5.35,5.308,2.81,4.271
3,13.57,0.8558,5.333,5.176,2.968,4.419
3,12.79,0.8558,5.011,5.049,2.794,6.388
3,13.45,0.8443,5.417,5.338,2.837,3.638
3,13,0.8359,5.09,5.088,2.715,3.521
3,13,0.8189,5.325,5.163,2.701,6.735
3,12.97,0.8419,5.088,5,2.763,4.309
3,13.08,0.8375,5.136,5.089,2.763,5.588
3,12.96,0.8099,5.278,5.185,2.641,5.182
3,13.01,0.8355,5.186,5.092,2.71,5.335
3,12.73,0.8329,5.145,4.963,2.642,4.702
3,13.05,0.8473,5.18,5.002,2.758,5.876
3,13.41,0.8706,5.236,5.147,3.017,4.987
3,13.07,0.8575,5.108,5.135,2.85,5.209
3,13.77,0.8541,5.495,5.316,3.026,6.185
3,13.31,0.8198,5.363,5.182,2.683,4.062
3,13.45,0.8198,5.413,5.352,2.716,4.898
3,12.8,0.8372,5.088,4.956,2.675,4.179
3,12.82,0.8594,5.089,4.957,2.821,7.524
3,12.8,0.839,5.046,5.045,2.717,5.398
3,13.02,0.8795,5.132,5.132,2.953,3.597
3,13.27,0.8639,5.236,5.012,2.975,4.132
3,13.53,0.8786,5.224,4.958,3.054,5.483
3,13.78,0.8849,5.32,5.091,3.128,4.67
3,13.67,0.8481,5.41,5.231,2.911,3.306
3,13.44,0.8609,5.219,5.045,2.989,5.472
3,13.32,0.8977,4.984,4.745,3.135,2.3
3,13.47,0.8567,5.204,5.001,2.96,3.919
3,13.2,0.8783,5.137,4.87,2.981,3.631
3,12.88,0.8511,5.14,5.003,2.795,4.325
3,13.21,0.8521,5.175,5.044,2.836,3.598
2,15.91,0.8599,6.064,5.922,3.403,3.824
2,16.05,0.9066,6.037,5.877,3.86,6.001
2,16.5,0.8985,6.113,6.009,3.892,4.308
2,15.18,0.885,5.872,5.922,3.472,3.769
